     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  56.239  27.561    18.9     3.2      99      99    99.0     360   0.406     4.4     4.3  2021 11 15 09 45 23.73
  56.144  27.603    12.4     2.7      99      99    99.0     360   0.490     4.0     2.9  2021 11 15 09 55 01.90
  56.236  27.631     9.6     2.8      99      99    99.0     360   0.397     3.7     3.0  2021 11 15 10 14 18.30
  56.187  27.572    18.3     2.9      99      99    99.0     360   0.319     4.1     3.4  2021 11 15 10 52 25.33
  56.141  27.514    10.2     3.5      99      99    99.0     360   0.511     5.6     3.2  2021 11 15 11 24 14.97
  56.195  27.648     0.8     2.8      99      99    99.0     360   0.336     5.4     4.5  2021 11 15 12 21 30.53
  56.188  27.577    12.5     2.9      99      99    99.0     360   0.370     4.0     3.3  2021 11 15 13 07 48.61
  56.227  27.559     7.3     2.9      99      99    99.0     360   0.224     4.3     3.1  2021 11 15 13 28 14.48
  56.161  27.572    18.6     5.0      99      99    99.0     360   0.343     3.1     1.9  2021 11 15 13 36 11.41
  56.122  27.634     8.9     2.7      99      99    99.0     360   0.289     5.0     3.6  2021 11 15 13 48 53.06
  56.142  27.520    16.0     3.3      99      99    99.0     360   0.405     4.4     3.3  2021 11 15 14 24 52.71
  56.139  27.511    17.3     2.9      99      99    99.0     360   0.371     4.8     3.5  2021 11 15 14 37 32.21
  56.189  27.508    22.7     2.9      99      99    99.0     360   0.340    16.1    13.7  2021 11 15 14 38 52.50
  56.151  27.608     2.7     2.8      99      99    99.0     360   0.279     5.5     3.3  2021 11 15 14 47 46.10
  56.196  27.507    14.1     2.9      99      99    99.0     360   0.418     4.0     2.8  2021 11 15 15 02 22.16
  56.184  27.556    13.3     2.8      99      99    99.0     360   0.324     4.4     3.8  2021 11 15 15 49 37.85
  56.138  27.653     5.6     2.6      99      99    99.0     360   0.396     5.4     3.8  2021 11 15 16 03 24.23
  56.186  27.549    14.9     3.8      99      99    99.0     360   0.422     5.2     3.4  2021 11 15 16 42 43.04
  56.130  27.516     2.4     2.8      99      99    99.0     360   0.422    16.5    11.1  2021 11 15 16 52 03.75
  56.197  27.611     2.7     2.5      99      99    99.0     360   0.310     5.1     3.7  2021 11 15 17 04 22.57
  56.197  27.552    12.6     2.9      99      99    99.0     360   0.368     4.2     3.2  2021 11 15 17 22 19.55
  56.236  27.546    18.6     4.3      99      99    99.0     360   0.395     3.4     2.3  2021 11 15 18 05 38.06
  55.981  27.507    14.6     3.5      99      99    99.0     360   0.507     6.0     4.0  2021 11 15 18 18 16.07
  56.180  27.540     8.2     2.9      99      99    99.0     360   0.431     4.8     3.7  2021 11 15 18 23 01.37
  56.240  27.550    11.9     2.8      99      99    99.0     360   0.273     5.9     4.7  2021 11 15 18 30 43.53
  56.179  27.569    11.3     3.7      99      99    99.0     360   0.390     4.2     3.3  2021 11 15 19 12 14.03
  56.015  27.533     7.4     3.2      99      99    99.0     360   0.475    11.1     8.3  2021 11 15 19 31 50.34
  56.039  27.490    10.2     2.8      99      99    99.0     360   0.425     6.4     5.1  2021 11 15 19 53 15.83
  56.164  27.628    20.6     3.3      99      99    99.0     360   0.420     3.7     2.2  2021 11 15 20 06 28.92
  56.205  27.604     6.7     2.5      99      99    99.0     360   0.440     5.1     3.8  2021 11 15 20 14 40.74
  56.160  27.617     3.5     2.7      99      99    99.0     360   0.294     5.0     2.8  2021 11 15 20 37 55.75
  56.174  27.584    14.7     3.3      99      99    99.0     360   0.363     3.9     3.1  2021 11 15 21 24 17.60
  56.136  27.616     7.3     2.8      99      99    99.0     360   0.431     5.8     3.2  2021 11 15 21 37 37.50
  56.179  27.618    12.0     2.8      99      99    99.0     360   0.275     4.1     3.5  2021 11 15 21 54 40.52
  55.959  27.492    15.7     3.1      99      99    99.0     360   0.377     6.3     4.2  2021 11 15 22 31 49.92
  56.119  27.442    22.4     2.8      99      99    99.0     360   0.197     8.2     5.2  2021 11 15 22 34 55.79
  56.094  27.611     6.8     3.1      99      99    99.0     360   0.461     7.4     6.8  2021 11 15 22 51 21.42
  56.226  27.491    16.3     2.9      99      99    99.0     360   0.203     3.6     2.5  2021 11 15 23 47 54.56
  56.192  27.498    11.1     2.6      99      99    99.0     360   0.236     5.6     4.0  2021 11 15 23 55 12.00
  56.185  27.561    14.1     2.9      99      99    99.0     360   0.325     4.3     3.2  2021 11 16 00 17 14.90
  56.218  27.593     7.2     2.8      99      99    99.0     360   0.342     4.9     4.4  2021 11 16 00 48 48.82
  56.166  27.551     9.6     2.6      99      99    99.0     360   0.370     3.9     3.2  2021 11 16 01 17 17.01
  56.048  27.518    13.8     2.9      99      99    99.0     360   0.293     5.7     4.9  2021 11 16 01 35 05.04
  56.102  27.590    14.3     2.6      99      99    99.0     360   0.426     7.1     4.7  2021 11 16 01 58 53.61
  56.204  27.637     2.1     2.9      99      99    99.0     360   0.420     6.2     6.7  2021 11 16 02 04 37.21
  56.182  27.510    17.0     2.7      99      99    99.0     360   0.274     4.4     3.1  2021 11 16 02 09 29.96
  56.010  27.449    22.2     2.8      99      99    99.0     360   0.360     8.0     5.6  2021 11 16 02 12 53.64
  56.133  27.485    16.6     2.5      99      99    99.0     360   0.259     4.9     3.9  2021 11 16 02 21 41.03
  56.236  27.655     6.1     2.6      99      99    99.0     360   0.324     4.7     4.2  2021 11 16 02 44 14.97
  56.140  27.568    19.1     4.1      99      99    99.0     360   0.298     4.1     2.9  2021 11 16 05 12 14.01
  56.152  27.488    19.7     3.2      99      99    99.0     360   0.548     8.1     6.5  2021 11 16 05 56 25.35
  56.154  27.601     6.3     2.8      99      99    99.0     360   0.238     8.1     8.3  2021 11 16 09 09 52.79
  56.162  27.605    13.9     3.7      99      99    99.0     360   0.279     3.9     2.5  2021 11 16 10 37 29.46
  56.245  27.484    18.8     3.5      99      99    99.0     360   0.351     4.3     2.3  2021 11 16 15 35 47.18
  56.066  27.500    14.7     2.9      99      99    99.0     360   0.283     6.7     4.7  2021 11 16 19 03 13.88
  56.158  27.532    14.2     3.9      99      99    99.0     360   0.409     4.9     2.7  2021 11 16 19 27 41.75
  56.047  27.495    13.6     3.1      99      99    99.0     360   0.403     5.3     4.0  2021 11 16 19 33 46.60
  56.057  27.503    13.8     2.9      99      99    99.0     360   0.255     8.0     6.3  2021 11 16 20 00 48.96
  56.144  27.573     4.2     2.7      99      99    99.0     360   0.279     6.2     4.6  2021 11 16 20 15 26.71
  56.100  27.663    11.6     2.9      99      99    99.0     360   0.330     8.9     8.3  2021 11 16 23 38 46.07
  56.164  27.440    19.1     2.9      99      99    99.0     360   0.146    12.0     8.1  2021 11 17 01 06 26.60
  56.195  27.566    18.3     3.7      99      99    99.0     360   0.322     3.4     2.3  2021 11 17 01 59 40.31
  56.009  27.459    17.5     2.7      99      99    99.0     360   0.433     9.7     7.3  2021 11 17 02 21 08.31
  56.126  27.537    18.7     3.1      99      99    99.0     360   0.473     7.0     5.8  2021 11 17 02 51 34.39
  56.134  27.578    12.9     2.7      99      99    99.0     360   0.337     7.2     7.6  2021 11 17 03 24 29.48
  56.154  27.532    19.2     2.5      99      99    99.0     360   0.416     8.7     8.0  2021 11 17 03 49 55.42
  56.180  27.598    14.4     3.4      99      99    99.0     360   0.389     3.9     2.8  2021 11 17 08 55 10.83
  56.214  27.536    11.6     3.2      99      99    99.0     360   0.442     4.9     4.0  2021 11 17 12 01 17.23
  56.131  27.586    19.2     3.6      99      99    99.0     360   0.383     2.6     2.3  2021 11 17 13 42 22.73
  56.159  27.628     9.9     2.6      99      99    99.0     360   0.398     4.9     3.2  2021 11 17 16 41 01.54
  56.223  27.562    15.9     3.5      99      99    99.0     360   0.340     3.4     2.5  2021 11 17 18 37 18.55
  56.160  27.524    15.6     3.7      99      99    99.0     360   0.334     3.5     2.6  2021 11 17 19 29 37.43
  56.129  27.597    22.4     2.8      99      99    99.0     360   0.211     3.3     2.1  2021 11 17 20 46 36.43
  56.197  27.569    11.7     3.2      99      99    99.0     360   0.311     3.8     3.7  2021 11 17 21 08 35.32
  56.160  27.581    16.4     3.3      99      99    99.0     360   0.376     2.8     2.2  2021 11 17 21 31 58.38
  56.226  27.563    13.8     3.0      99      99    99.0     360   0.266     3.1     2.3  2021 11 17 23 20 25.80
  56.177  27.579    12.5     3.3      99      99    99.0     360   0.282     3.4     2.7  2021 11 17 23 53 46.47
  56.077  27.553    13.0     3.2      99      99    99.0     360   0.650     7.6     5.8  2021 11 18 01 50 47.49
  56.269  27.513    16.3     3.4      99      99    99.0     360   0.332     4.4     3.0  2021 11 18 02 18 15.11
  56.251  27.596     1.4     2.6      99      99    99.0     360   0.273     7.5     5.9  2021 11 18 04 30 33.72
  56.186  27.642    17.2     2.6      99      99    99.0     360   0.339     7.1     6.8  2021 11 18 04 57 11.69
  56.243  27.571     5.9     2.8      99      99    99.0     360   0.172     5.6     4.6  2021 11 18 05 46 26.66
  56.166  27.529    13.8     3.4      99      99    99.0     360   0.406     4.6     3.0  2021 11 18 12 02 51.47
  56.247  27.549     9.5     2.8      99      99    99.0     360   0.279     6.0     3.8  2021 11 18 13 07 07.17
  56.098  27.535    15.0     4.3      99      99    99.0     360   0.388     4.3     3.3  2021 11 18 16 10 42.25
  56.185  27.580     1.3     2.7      99      99    99.0     360   0.630    11.0    10.8  2021 11 18 18 55 41.67
  56.048  27.423    15.3     2.7      99      99    99.0     360   0.233     6.9     3.8  2021 11 18 19 10 04.79
  56.118  27.538    13.8     2.9      99      99    99.0     360   0.564     5.0     3.8  2021 11 18 19 28 24.76
  56.207  27.510    13.5     2.7      99      99    99.0     360   0.167     5.0     3.4  2021 11 18 20 19 07.86
  56.240  27.631    12.4     3.5      99      99    99.0     360   0.418     4.0     2.8  2021 11 18 20 50 50.79
  56.143  27.530    16.8     3.3      99      99    99.0     360   0.472     4.6     3.7  2021 11 18 21 20 06.59
  56.318  27.501    22.3     2.7      99      99    99.0     360   0.259     8.9     6.9  2021 11 18 21 45 34.46
  56.210  27.553    17.4     3.5      99      99    99.0     360   0.343     3.5     2.4  2021 11 18 23 05 21.12
  56.255  27.539    14.1     2.7      99      99    99.0     360   0.492     8.8     6.2  2021 11 19 01 59 44.53
  56.228  27.500    17.1     2.8      99      99    99.0     360   0.408     3.9     3.2  2021 11 19 02 27 47.92
  56.217  27.607    20.2     2.9      99      99    99.0     360   0.327     4.5     3.6  2021 11 19 03 18 00.52
  56.187  27.601    22.4     2.8      99      99    99.0     360   0.305     6.7     5.4  2021 11 19 03 21 40.56
  56.163  27.600    15.6     3.6      99      99    99.0     360   0.388     3.8     2.5  2021 11 19 10 34 23.85
  56.183  27.628     5.6     2.8      99      99    99.0     360   0.303     4.5     5.0  2021 11 19 13 28 38.07
  56.207  27.587     6.0     2.9      99      99    99.0     360   0.390     6.0     5.0  2021 11 19 16 16 55.52
  56.210  27.580    16.2     4.0      99      99    99.0     360   0.500     2.9     2.4  2021 11 19 18 52 08.69
  56.202  27.617    10.6     2.9      99      99    99.0     360   0.211     4.4     3.9  2021 11 20 00 51 08.58
  56.159  27.529    12.8     3.3      99      99    99.0     360   0.387     3.9     2.4  2021 11 20 04 55 55.03
  56.166  27.632    17.7     2.7      99      99    99.0     360   0.293     4.1     3.2  2021 11 20 18 40 50.35
  56.177  27.618    21.9     3.8      99      99    99.0     360   0.294     2.8     2.6  2021 11 20 18 44 27.51
  56.212  27.545    13.2     3.4      99      99    99.0     360   0.365     4.3     3.5  2021 11 20 19 17 57.52
  56.188  27.528    13.8     3.5      99      99    99.0     360   0.388     5.4     3.5  2021 11 21 05 55 39.04
  56.129  27.623    17.9     2.7      99      99    99.0     360   0.400     4.6     3.7  2021 11 21 11 43 59.03
  56.176  27.627    10.4     2.6      99      99    99.0     360   0.430     4.2     3.5  2021 11 21 15 48 12.96
  56.165  27.514    14.2     2.9      99      99    99.0     360   0.337     4.1     3.2  2021 11 21 19 55 27.76
  55.988  27.504    15.5     3.4      99      99    99.0     360   0.342     6.1     4.1  2021 11 21 22 51 05.79
  55.991  27.393    20.9     2.9      99      99    99.0     360   0.311     8.7     6.7  2021 11 22 00 17 18.17
  56.175  27.591     9.4     2.6      99      99    99.0     360   0.357     4.2     4.0  2021 11 22 01 41 30.69
  56.182  27.537    14.7     2.9      99      99    99.0     360   0.478     3.2     2.4  2021 11 22 02 18 07.01
  56.153  27.589    15.5     3.7      99      99    99.0     360   0.304     3.1     2.6  2021 11 22 03 29 36.04
  56.279  27.657     7.7     2.8      99      99    99.0     360   0.290     4.6     3.9  2021 11 22 20 16 00.46
  56.194  27.631     4.3     3.2      99      99    99.0     360   0.378     4.6     2.8  2021 11 23 02 29 07.96
  56.258  27.513    15.5     3.4      99      99    99.0     360   0.365     4.8     3.2  2021 11 23 08 15 24.78
  56.229  27.520    17.8     2.8      99      99    99.0     360   0.423     3.7     2.6  2021 11 23 16 49 16.94
  56.158  27.597     9.6     2.9      99      99    99.0     360   0.404     4.7     3.6  2021 11 24 00 14 42.39
  56.098  27.547    12.9     3.4      99      99    99.0     360   0.436     4.4     3.1  2021 11 24 02 34 25.96
  56.187  27.589    25.9     2.7      99      99    99.0     360   0.295     3.8     2.7  2021 11 24 16 25 54.46
  56.166  27.612     8.1     2.8      99      99    99.0     360   0.324     5.2     4.5  2021 11 25 06 34 21.57
  56.165  27.498    16.4     2.8      99      99    99.0     360   0.188     4.6     3.1  2021 11 25 10 53 53.03
  56.251  27.557    16.3     3.8      99      99    99.0     360   0.346     3.4     2.7  2021 11 25 11 02 56.75
  56.294  27.587     8.7     3.1      99      99    99.0     360   0.162    14.6     9.8  2021 11 25 21 49 31.32
  56.206  27.597    16.9     3.8      99      99    99.0     360   0.366     3.3     2.9  2021 11 26 05 57 39.35
  56.205  27.546    13.4     3.4      99      99    99.0     360   0.374     3.5     2.2  2021 11 26 21 29 40.11
  56.132  27.559    15.5     3.1      99      99    99.0     360   0.344     3.7     2.9  2021 11 26 23 01 03.16
  56.123  27.550     9.4     2.8      99      99    99.0     360   0.239     8.4     7.7  2021 11 27 00 31 29.46
  56.211  27.548     8.3     3.4      99      99    99.0     360   0.343     5.8     4.0  2021 11 27 23 42 17.50
  56.124  27.706     7.8     2.9      99      99    99.0     360   0.387    10.9     9.7  2021 11 28 09 18 14.89
  56.156  27.595    16.9     4.0      99      99    99.0     360   0.328     2.5     2.2  2021 11 28 17 14 43.53
  56.234  27.494    12.4     2.8      99      99    99.0     360   0.263     6.8     5.7  2021 11 28 20 54 31.51
  56.198  27.558    13.2     2.8      99      99    99.0     360   0.258     4.7     4.2  2021 11 29 00 02 02.91
  56.166  27.435    18.9     2.8      99      99    99.0     360   0.265     4.6     3.2  2021 11 29 20 31 56.28
  56.236  27.526    17.9     3.4      99      99    99.0     360   0.426     4.2     2.9  2021 11 29 21 02 42.24
  56.284  27.542    18.0     3.8      99      99    99.0     360   0.331     3.7     2.8  2021 11 30 03 47 46.25
  56.165  27.567    12.2     2.9      99      99    99.0     360   0.342     3.4     2.8  2021 11 30 05 04 56.42
  56.075  27.498    19.9     2.9      99      99    99.0     360   0.464     6.1     4.6  2021 11 30 14 56 20.14
  56.292  27.596    11.5     2.6      99      99    99.0     360   0.378     6.8     4.5  2021 11 30 19 05 21.82
  56.141  27.543    11.8     2.9      99      99    99.0     360   0.329     4.4     3.7  2021 11 30 19 36 23.23
  56.126  27.490    18.0     2.8      99      99    99.0     360   0.421     5.5     3.9  2021 11 30 19 44 34.67
  56.202  27.557    12.4     3.2      99      99    99.0     360   0.377     3.8     3.1  2021 11 30 22 44 37.38
  56.103  27.582    15.7     2.7      99      99    99.0     360   0.341     4.0     3.8  2021 11 30 23 54 27.83
  56.147  27.562    17.4     3.4      99      99    99.0     360   0.373     5.5     4.4  2021 12 01 01 42 32.84
  56.142  27.601     8.3     2.5      99      99    99.0     360   0.517     5.4     4.1  2021 12 01 02 12 44.86
  56.189  27.570    12.8     3.2      99      99    99.0     360   0.372     3.7     3.4  2021 12 01 04 53 16.73
  56.188  27.578    10.0     2.7      99      99    99.0     360   0.300     3.8     3.7  2021 12 01 06 31 43.49
  56.186  27.653     3.9     3.2      99      99    99.0     360   0.347     9.2     9.5  2021 12 03 06 20 15.00
  56.238  27.582    17.3     3.4      99      99    99.0     360   0.348     3.2     2.5  2021 12 03 20 06 13.53
  56.228  27.576    17.3     2.7      99      99    99.0     360   0.313     3.5     2.5  2021 12 05 19 52 57.60
  56.167  27.551    13.0     3.1      99      99    99.0     360   0.388     3.2     2.4  2021 12 05 20 27 23.28
  56.208  27.604    17.1     3.6      99      99    99.0     360   0.445     4.7     3.0  2021 12 06 08 04 20.53
  56.231  27.567    17.5     2.9      99      99    99.0     360   0.261     3.0     2.1  2021 12 06 17 10 05.12
