# 2006 01 01 11 28 46.600000 35.552 53.246  10.0  1.7 0.0 0.0 0.0         1
SHM   5.620 1.00 Pg
LAS   6.300 1.00 Pg
ANJ  11.040 1.00 Pg
SHM  10.300 1.00 Sg
LAS  11.030 1.00 Sg
# 2006 01 02 07 01 02.000000 36.486 52.412  13.5  2.8 0.0 0.0 0.0         2
ANJ  28.890 1.00 Pg
FIR  16.910 1.00 Pg
GLO  21.770 1.00 Pg
KIA  20.650 1.00 Pg
LAS  22.810 1.00 Pg
MHD  29.570 1.00 Pg
PRN   6.100 1.00 Pg
SFB  37.150 1.00 Pn
SHM  18.650 1.00 Pg
VRN  29.480 1.00 Pg
PRN  11.100 1.00 Sg
# 2006 01 03 09 02 52.300000 35.718 53.522  29.3  1.0 0.0 0.0 0.0         3
ANJ   8.880 1.00 Pg
FIR  12.200 1.00 Pg
ANJ  15.100 1.00 Sg
SHM   6.170 1.00 Pg
FIR  21.480 1.00 Sg
SHM  10.510 1.00 Sg
# 2006 01 03 09 10 08.300000 35.589 52.060  10.0  2.1 0.0 0.0 0.0         4
SHM  20.010 0.50 Pg
VRN  11.870 1.00 Pg
RAZ  19.820 0.00 Pg
MHD  20.400 1.00 Pg
LAS  15.170 1.00 Pg
FIR  10.100 1.00 Pg
ANJ  23.610 0.50 Pg
VRN  19.830 1.00 Sg
FIR  18.320 1.00 Sg
MHD  36.600 1.00 Sg
SHM  32.550 1.00 Sg
# 2006 01 03 09 25 00.900000 35.748 53.550  15.0  1.5 0.0 0.0 0.0         5
ANJ   8.440 1.00 Pg
LAS  11.940 1.00 Pg
SHM   5.290 1.00 Pg
ANJ  14.680 1.00 Sg
# 2006 01 03 10 44 45.400000 35.653 53.476  10.0  1.6 0.0 0.0 0.0         6
SHM   4.270 1.00 Pg
ANJ   7.390 1.00 Pg
FIR  11.100 1.00 Pg
GLO  17.310 1.00 Pg
KIA  10.420 1.00 Pg
VRN  29.240 1.00 Pg
ANJ  12.770 1.00 Sg
FIR  18.460 1.00 Sg
GLO  31.310 0.50 Sg
KIA  19.300 1.00 Sg
SHM   5.530 1.00 Sg
# 2006 01 03 11 05 32.500000 35.386 50.901  10.0  2.4 0.0 0.0 0.0         7
VRN  14.150 1.00 Pg
RAZ  24.470 0.00 Pg
MHD   6.660 1.00 Pg
FIR  26.860 1.00 Pg
SHM  36.340 0.50 Pn
VRN  24.530 1.00 Sg
MHD  10.980 1.00 Sg
# 2006 01 03 12 26 49.900000 35.155 50.478  19.2  1.2 0.0 0.0 0.0         8
