# 2018 01 07 15 32 30.900000 35.642 50.757  10.0  1.9 0.0 0.0 0.0        17
DMV  20.340 1.00 Pg
DMV  35.100 1.00 Sg
HSB   9.880 1.00 Pg
HSB  16.840 1.00 Sg
MHD   2.720 1.00 Pg
MHD   5.160 1.00 Sg
RAZ  13.660 1.00 Pg
VRN  19.940 1.00 Pg
# 2018 01 07 21 25 28.800000 36.544 50.499  12.0  2.5 0.0 0.0 0.0        18
DMV  30.600 1.00 Pg
DMV  51.760 1.00 Sg
HSB  24.300 1.00 Pg
JIR1 11.520 1.00 Pg
JIR1 19.600 1.00 Sg
KLST  8.640 1.00 Pg
LHJ2 14.240 1.00 Pg
MHD  17.300 1.00 Pg
MZPU 16.660 1.00 Pg
PRN  28.520 1.00 Pg
RAZ  23.300 1.00 Pg
# 2018 01 08 07 55 23.000000 35.370 52.400  11.0  1.4 0.0 0.0 0.0        19
VRN  13.280 1.00 Pg
SFB  18.960 1.00 Pg
LAS   9.500 1.00 Pg
FIR   7.920 1.00 Pg
DMV   7.500 1.00 Pg
# 2018 01 08 09 44 15.400000 36.541 52.709  12.0  1.8 0.0 0.0 0.0        20
ALA   9.560 1.00 Pg
PRN   8.960 1.00 Pg
MZPU 17.800 1.00 Pg
LAS  21.910 1.00 Pg
KLST 24.740 1.00 Pg
GLO  17.200 1.00 Pg
FIR  17.300 1.00 Pg
DMV  20.920 1.00 Pg
# 2018 01 08 12 43 47.100000 37.040 49.490   8.0  2.3 0.0 0.0 0.0        21
CSN1 11.940 1.00 Pg
JIR1  8.540 1.00 Pg
KLST 25.640 1.00 Pg
MHD  31.300 1.00 Pg
RAZ  30.800 1.00 Pg
JIR1 14.720 1.00 Sg
# 2018 01 10 00 15 44.300000 35.554 53.243  13.6  1.7 0.0 0.0 0.0        22
ANJ  10.900 1.00 Pg
DMV  18.700 1.00 Pg
FIR   8.360 1.00 Pg
LAS   6.550 1.00 Pg
VRN  25.100 1.00 Pg
SFB  26.660 1.00 Pg
LAS  10.730 1.00 Sg
# 2018 01 10 03 48 43.400000 35.585 53.245  12.0  2.0 0.0 0.0 0.0        23
VRN  25.660 1.00 Pg
LAS   7.030 1.00 Pg
FIR   7.780 1.00 Pg
DMV  18.520 1.00 Pg
ANJ  11.150 1.00 Pg
ALA  12.560 1.00 Pg
DMV  33.360 1.00 Sg
# 2018 01 10 04 51 37.900000 35.564 53.241   9.0  1.4 0.0 0.0 0.0        24
ANJ  11.010 1.00 Pg
LAS   6.680 1.00 Pg
FIR   8.460 1.00 Pg
DMV  18.240 1.00 Pg
ALA  21.640 1.00 Sg
# 2018 01 10 06 48 55.700000 35.589 53.244  10.7  1.4 0.0 0.0 0.0        25
LAS   6.800 1.00 Pg
FIR   8.400 1.00 Pg
DMV  19.220 1.00 Pg
ANJ  11.230 1.00 Pg
LAS  11.540 1.00 Sg
# 2018 01 10 07 46 46.000000 35.376 52.312  16.0  2.8 0.0 0.0 0.0        26
ALA  16.380 1.00 Pg
AMD1 22.320 1.00 Pg
ANJ  24.580 1.00 Pg
DMV   6.900 1.00 Pg
FIR   9.180 1.00 Pg
HSB  16.260 1.00 Pg
LAS  10.800 1.00 Pg
MHD  25.360 1.00 Pg
MZPU 23.480 1.00 Pg
PRN  16.520 1.00 Pg
VRN  12.440 1.00 Pg
# 2018 01 11 00 38 48.100000 36.420 52.093   6.0  2.4 0.0 0.0 0.0        27
ALA  14.600 1.00 Pg
DMV  17.360 1.00 Pg
FIR  19.560 1.00 Pg
GLO  28.220 1.00 Pg
KLST 17.500 1.00 Pg
LAS  25.960 1.00 Pg
MZPU  9.680 1.00 Pg
PRN   6.260 1.00 Pg
# 2018 01 11 12 32 17.700000 34.133 50.349   8.4  2.0 0.0 0.0 0.0        28
VRN  26.900 1.00 Pg
SFB  29.460 1.00 Pg
RAZ  26.200 1.00 Pg
QOM  17.960 1.00 Pg
QAMS 18.640 1.00 Pg
PIR  29.840 1.00 Pg
KRSH 28.540 1.00 Pg
KLH  24.830 1.00 Pg
HSAM 27.820 1.00 Pg
HAGD 22.780 1.00 Pg
QOM  31.520 1.00 Sg
# 2018 01 11 12 54 27.200000 35.762 50.976  10.0  1.5 0.0 0.0 0.0        29
VRN  18.580 1.00 Pg
RAZ  17.380 1.00 Pg
MHD   5.800 1.00 Pg
HSB   8.580 1.00 Pg
DMV  17.400 1.00 Pg
MHD  10.320 1.00 Sg
# 2018 01 11 13 21 30.100000 35.544 53.228  15.0  2.3 0.0 0.0 0.0        30
ALA  12.440 1.00 Pg
ANJ  11.100 1.00 Pg
DMV  18.980 1.00 Pg
FIR   8.260 1.00 Pg
LAS   6.690 1.00 Pg
PRN  19.660 1.00 Pg
SFB  26.780 1.00 Pg
VRN  25.080 1.00 Pg
FIR  14.120 1.00 Sg
# 2018 01 11 17 17 06.700000 35.360 52.322  10.0  1.6 0.0 0.0 0.0        31
DMV   6.660 1.00 Pg
FIR   9.040 1.00 Pg
LAS  10.560 1.00 Pg
PRN  17.500 1.00 Pg
SFB  19.380 1.00 Pg
VRN  12.280 1.00 Pg
DMV  11.920 1.00 Sg
# 2018 01 11 21 29 21.800000 35.555 53.241  18.7  2.1 0.0 0.0 0.0        32
ALA  12.540 1.00 Pg
ANJ  11.280 1.00 Pg
FIR   8.320 1.00 Pg
LAS   6.630 1.00 Pg
PRN  19.700 1.00 Pg
VRN  24.960 1.00 Pg
LAS  11.770 1.00 Sg
# 2018 01 11 21 30 37.300000 35.589 53.237  16.9  1.7 0.0 0.0 0.0        33
ALA  12.100 1.00 Pg
ANJ  11.360 1.00 Pg
FIR   8.440 1.00 Pg
LAS   6.820 1.00 Pg
VRN  25.260 1.00 Pg
# 2018 01 11 22 11 23.100000 35.536 53.242  10.0  1.8 0.0 0.0 0.0        34
ANJ  11.110 1.00 Pg
FIR   8.300 1.00 Pg
LAS   6.510 1.00 Pg
PRN  20.020 1.00 Pg
VRN  24.940 1.00 Pg
LAS  10.670 1.00 Sg
# 2018 01 12 00 28 46.100000 35.568 53.244  12.0  1.9 0.0 0.0 0.0        35
ANJ  11.230 1.00 Pg
DMV  19.140 1.00 Pg
