   LON    LAT DEPTH MAG NSTUSED NPHASEP NPHASES MIND GAP  RMS SEH  SEZ YYYY MM DD HH MN   SEC
56.263 27.485  14.0 2.8     NaN      58       0  NaN NaN 0.25 2.7  3.7 2021 10 14 14 17 47.22
56.084 27.573  17.6 6.2     NaN      85       3  NaN NaN 0.33 1.9  2.9 2021 11 14 12  7  4.10
56.175 27.546   9.3 6.3     NaN      44      11  NaN NaN 0.44 2.0  2.7 2021 11 14 12  8 37.94
56.200 27.495  25.1 4.2     NaN      11       1  NaN NaN 0.49 7.1  8.6 2021 11 14 12 40 52.19
56.127 27.511  15.4 4.0     NaN      60       0  NaN NaN 0.50 3.1  3.6 2021 11 14 12 52 37.91
56.141 27.562  20.3 4.0     NaN      40       0  NaN NaN 0.22 1.8  2.4 2021 11 14 13 13 15.84
56.140 27.591  17.9 4.6     NaN      97       3  NaN NaN 0.30 1.4  2.1 2021 11 14 14  2 56.19
56.203 27.502  14.1 3.6     NaN      63       0  NaN NaN 0.31 1.9  2.7 2021 11 14 14 13 57.09
56.176 27.570  13.3 3.8     NaN      70       6  NaN NaN 0.26 1.6  2.2 2021 11 14 14 24 14.30
56.216 27.591  15.8 4.3     NaN      69       7  NaN NaN 0.41 3.0  3.4 2021 11 14 15 12  7.65
56.130 27.550  12.8 4.3     NaN      63       6  NaN NaN 0.48 2.6  2.7 2021 11 14 15 22 18.70
56.120 27.519  15.9 4.0     NaN      72       0  NaN NaN 0.40 2.2  2.8 2021 11 14 15 59 11.45
56.177 27.533  18.0 3.5     NaN      28       5  NaN NaN 0.65 5.6  7.9 2021 11 14 16 10  8.99
56.181 27.517  18.0 4.4     NaN      72       0  NaN NaN 0.38 2.6  4.0 2021 11 14 16 19 57.14
56.240 27.525  17.3 3.3     NaN      64       0  NaN NaN 0.21 2.1  2.5 2021 11 14 16 34 12.86
56.232 27.620  17.8 3.4     NaN      55       5  NaN NaN 0.34 2.2  3.0 2021 11 14 17  1 17.76
56.238 27.522  15.7 2.8     NaN      37       0  NaN NaN 0.32 4.8  8.0 2021 11 14 17 31 54.48
56.215 27.574  11.9 3.4     NaN      65       0  NaN NaN 0.24 2.4  3.6 2021 11 14 17 40 57.04
56.176 27.548  13.9 3.5     NaN      60       8  NaN NaN 0.35 2.2  2.5 2021 11 14 17 50 23.16
56.183 27.591  12.4 3.7     NaN      76       7  NaN NaN 0.30 1.6  2.4 2021 11 14 17 58 13.04
56.092 27.530  10.1 3.5     NaN      29       7  NaN NaN 0.37 5.3  9.9 2021 11 14 18  1 12.38
56.170 27.584  22.0 3.6     NaN      60       0  NaN NaN 0.27 1.5  1.9 2021 11 14 18 18 38.44
56.246 27.599  13.6 3.3     NaN      43       6  NaN NaN 0.41 2.8  3.7 2021 11 14 18 38 16.60
56.116 27.535  14.7 2.8     NaN      50       0  NaN NaN 0.18 2.7  3.8 2021 11 14 18 46 39.06
56.219 27.565  24.4 2.7     NaN      35       0  NaN NaN 0.80 3.6  5.5 2021 11 14 18 57 21.64
56.251 27.548  10.5 3.5     NaN      49       2  NaN NaN 0.35 3.6  5.2 2021 11 14 19  7  5.60
56.292 27.589  15.7 2.9     NaN      49       2  NaN NaN 0.31 2.9  3.9 2021 11 14 19 10  4.38
