MHD  17.790 1.00 Sg
VRN  42.700 1.00 Sg
RAZ   7.630 1.00 Sg
# 2011 01 04 12 03 55.400000 36.712 49.640   3.1  2.3 0.0 0.0 0.0        18
GZV   9.620 1.00 Pg
RAZ  22.200 0.50 Pg
GZV  18.300 1.00 Sg
BST  39.880 1.00 Pn
HRS  43.560 1.00 Pn
VRN  40.200 1.00 Pn
IL5  29.840 1.00 Pg
RAZ  41.540 1.00 Sg
# 2011 01 04 13 37 13.100000 35.793 52.020  18.0  1.4 0.0 0.0 0.0        19
DMV   2.910 0.50 Pg
FIR  11.380 1.00 Pg
VRN  14.910 1.00 Pg
FIR  19.940 1.00 Sg
VRN  26.870 1.00 Sg
SHM  19.470 1.00 Pg
# 2011 01 05 00 49 34.700000 35.336 52.306  18.0  0.8 0.0 0.0 0.0        20
DMV   5.900 1.00 Pg
FIR   9.410 1.00 Pg
VRN  11.140 1.00 Pg
DMV  12.300 1.00 Sg
# 2011 01 05 07 17 35.100000 34.499 52.626  14.7  1.5 0.0 0.0 0.0        21
VRN  16.190 1.00 Pg
ZEF  28.270 1.00 Pg
KLH  26.430 1.00 Pg
ZEF  50.650 1.00 Sg
# 2011 01 05 09 44 50.300000 35.114 49.669   3.3  2.1 0.0 0.0 0.0        22
VRN  30.380 1.00 Pg
RAZ   6.440 1.00 Pg
MHD  18.130 1.00 Pg
GZV  24.610 1.00 Pg
FIR  44.370 0.00 Pn
MHD  30.710 1.00 Sg
RAZ  11.400 1.00 Sg
IL5  13.100 1.00 Pg
IL5  24.140 1.00 Sg
# 2011 01 06 09 41 41.000000 36.028 50.591  11.1  1.5 0.0 0.0 0.0        23
AFJ  16.840 1.00 Pg
RAZ  14.940 1.00 Pg
VRN  25.490 1.00 Pg
GZV  15.400 1.00 Sg
GZV   8.340 1.00 Pg
MHD   6.750 1.00 Pg
# 2011 01 06 10 28 19.600000 35.634 51.419  16.6  1.5 0.0 0.0 0.0        24
AFJ   7.030 1.00 Pg
FIR  20.320 1.00 Pg
IL5  16.260 1.00 Pg
VRN  13.170 1.00 Pg
VRN  22.690 1.00 Sg
# 2011 01 06 19 30 12.900000 34.707 51.966   3.5  1.8 0.0 0.0 0.0        25
DMV  15.840 1.00 Pg
FIR  20.130 1.00 Pg
KLH  25.440 1.00 Pg
MHD  25.890 1.00 Pg
SHM  27.810 1.00 Pg
VRN   6.490 1.00 Pg
ZEF  32.820 1.00 Pn
KLH  44.300 1.00 Sg
DMV  27.320 1.00 Sg
# 2011 01 07 11 53 43.800000 35.848 53.429   3.9  1.5 0.0 0.0 0.0        26
ANJ  10.410 1.00 Pg
DMV  21.690 1.00 Pg
FIR  10.360 1.00 Pg
LAS  10.370 1.00 Pg
SHM   1.860 1.00 Pg
VRN  29.320 1.00 Pg
SHM   4.320 1.00 Sg
FIR  18.990 1.00 Sg
# 2011 01 07 12 39 55.100000 36.697 49.609  13.1  2.3 0.0 0.0 0.0        27
DMV  38.640 0.50 Pn
BST  39.170 1.00 Pn
SRB  32.130 1.00 Pn
VRN  41.000 0.50 Pn
IL5  29.100 1.00 Pg
GZV   8.350 0.50 Pg
# 2011 01 08 08 04 54.500000 35.548 53.190  10.0  0.9 0.0 0.0 0.0        28
SHM   5.280 1.00 Pg
LAS   4.980 1.00 Pg
FIR   7.020 1.00 Pg
ANJ  11.010 1.00 Pg
SHM   9.290 1.00 Sg
# 2011 01 08 11 48 31.600000 36.540 50.979  12.8  2.5 0.0 0.0 0.0        29
ANJ  42.270 1.00 Pn
DMV  22.660 1.00 Pg
FIR  29.100 1.00 Pg
GZV  11.690 1.00 Pg
IL5  24.360 1.00 Pg
MHD  16.570 1.00 Pg
RAZ  25.670 1.00 Pg
SHM  34.060 1.00 Pn
VRN  29.400 1.00 Pg
DMV  40.440 1.00 Sg
# 2011 01 08 15 20 30.100000 35.325 52.490  21.3  1.6 0.0 0.0 0.0        30
ANJ  21.470 1.00 Pg
DMV   9.040 1.00 Pg
FIR   7.660 1.00 Pg
LAS   7.910 1.00 Pg
SHM  15.610 1.00 Pg
VRN  13.310 1.00 Pg
# 2011 01 08 15 26 47.200000 34.047 53.239  12.9  2.5 0.0 0.0 0.0        31
ANJ  26.820 1.00 Pg
FIR  28.880 1.00 Pg
CHK  34.030 1.00 Pn
