# 2021 08 08 06 04 49.90  26.903  55.033  19.9 0.00 0.00 0.00  0.3    100000
BNDS  21.440   1.0 P
MZN1  22.760   1.0 P
LMD1  30.900   1.0 P
JHRM  35.260   1.0 P
JASK  44.500   1.0 P
KHJ1  50.500   1.0 P
KSHB  53.480   1.0 P
CHMN  57.800   1.0 P
KHGB  58.160   1.0 P
KBAM  58.800   1.0 P
KSHD  62.840   1.0 P
# 2021 08 08 21 55 37.60  27.175  55.032  10.0 0.00 0.00 0.00  0.2    100001
BNDS  20.000   1.0 P
BNB   26.160   1.0 P
LMD1  30.880   1.0 P
KRBR  52.260   1.0 P
KHGB  55.880   1.0 P
CHMN  56.860   1.0 P
# 2021 08 15 00 19 17.20  28.165  55.876  10.0 0.00 0.00 0.00  0.5    100002
GENO  15.640   1.0 P
MZN1  21.420   1.0 P
GENO  29.520   1.0 S
KRBR  34.940   1.0 P
KSHB  39.160   1.0 P
CHMN  39.560   1.0 P
KHGB  40.060   1.0 P
KBAM  42.440   1.0 P
KSHD  44.840   1.0 P
# 2021 08 22 21 03 57.10  27.585  55.377  16.9 0.00 0.00 0.00  0.4    100003
GENO  13.960   1.0 P
BNB   20.060   1.0 P
GENO  25.020   1.0 S
KHJ1  42.260   1.0 P
KHGB  47.800   1.0 P
CHMN  48.580   1.0 P
# 2021 08 22 22 27 49.60  28.016  55.563  19.5 0.00 0.00 0.00  0.3    100004
GENO  15.720   1.0 P
MZN1  15.760   1.0 P
JHRM  34.020   1.0 P
LMD1  37.680   1.0 P
KSHB  38.260   1.0 P
KHJ1  38.620   1.0 P
KHGB  41.680   1.0 P
CHMN  42.280   1.0 P
KBAM  45.440   1.0 P
KSHD  47.200   1.0 P
JASK  48.160   1.0 P
UOSS  50.190   1.0 P
# 2021 08 24 06 24 40.80  27.627  56.472  20.8 0.00 0.00 0.00  0.3    100005
BNB    4.940   1.0 P
GENO   7.720   1.0 P
JASK  36.560   1.0 P
KBAM  38.780   1.0 P
KRBR  39.740   1.0 P
CHMN  40.220   1.0 P
KHGB  45.180   1.0 P
KSHD  46.620   0.0 P
KSHB  47.020   1.0 P
GHIR  50.940   1.0 P
BNDS   7.610   1.0 P
JSSH  34.160   1.0 P
LMD1  48.450   1.0 P
# 2021 08 24 18 42 48.60  27.900  56.860   9.0 0.00 0.00 0.00  0.4    100006
KBAM  33.680   1.0 P
CHMN  37.100   1.0 P
KRBR  37.760   1.0 P
JASK  39.240   1.0 P
KSHB  46.920   1.0 P
UOSS  50.170   1.0 P
# 2021 08 24 19 43 53.30  27.852  56.562   6.0 0.00 0.00 0.00  0.2    100007
BNB    8.840   1.0 P
BNDS  11.920   1.0 P
GENO  21.500   1.0 S
KBAM  38.780   1.0 P
KRBR  39.380   1.0 P
CHMN  40.100   1.0 P
JASK  40.960   1.0 P
KHGB  44.900   1.0 P
# 2021 08 25 19 39 22.50  28.100  56.935  18.1 0.00 0.00 0.00  0.3    100008
BNB   15.100   1.0 P
BNDS  19.760   0.0 P
GENO  19.920   1.0 P
KBAM  31.040   1.0 P
CHMN  34.300   1.0 P
KRBR  34.460   1.0 P
JASK  40.880   1.0 P
# 2021 08 31 01 23 48.80  27.932  56.824  10.0 0.00 0.00 0.00  0.5    100009
BNB   10.500   1.0 P
GENO  15.460   1.0 P
BNDS  15.680   1.0 P
KBAM  34.480   1.0 P
CHMN  37.900   1.0 P
KHGB  43.140   1.0 P
# 2021 09 01 16 32 06.60  27.871  56.337   1.2 0.00 0.00 0.00  0.2    100010
BNB    9.640   1.0 P
GENO   9.960   1.0 P
GENO  18.020   1.0 S
KRBR  39.720   1.0 P
KBAM  40.640   1.0 P
# 2021 09 13 18 32 19.50  27.720  56.694  20.0 0.00 0.00 0.00  0.5    100011
BNB    6.820   1.0 P
BNDS  11.360   1.0 P
KBAM  35.260   1.0 P
JASK  36.080   1.0 P
KRBR  37.480   1.0 P
CHMN  38.840   1.0 P
KSHD  44.840   1.0 P
# 2021 09 19 16 16 23.10  27.663  55.144   7.6 0.00 0.00 0.00  0.4    100012
MZN1  11.340   1.0 P
MZN1  20.220   1.0 S
JHRM  31.520   1.0 P
LMD1  33.800   1.0 P
KSHB  44.580   1.0 P
CHMN  49.620   0.5 P
KBAM  53.480   1.0 P
# 2021 09 22 15 58 44.60  28.257  55.203  21.5 0.00 0.00 0.00  0.2    100013
MZN1  11.800   1.0 P
BNDS  24.120   1.0 P
BNB   27.980   1.0 P
JHRM  28.640   1.0 P
KSHB  35.360   1.0 P
KHGB  40.900   1.0 P
CHMN  44.060   1.0 P
KSHD  47.980   1.0 P
KBAM  49.320   1.0 P
# 2021 09 30 10 29 02.60  26.626  55.669  16.0 0.00 0.00 0.00  0.2    100014
BNDS  17.980   1.0 P
BNDS  31.820   1.0 S
MZN1  32.960   1.0 P
JASK  37.540   1.0 P
# 2021 10 10 16 11 25.40  27.321  55.258  16.7 0.00 0.00 0.00  0.3    100015
MZN1  16.960   1.0 P
BNB   22.080   1.0 P
JHRM  33.840   1.0 P
