   LON    LAT DEPTH MAG NSTUSED NPHASEP NPHASES MIND GAP  RMS  SEH  SEZ YYYY MM DD HH MN   SEC
56.123 27.543  17.8 3.1     NaN      81      15  NaN NaN 0.48  2.5  3.5 2021 11 17  2 51 34.48
56.172 27.606  13.6 3.4     NaN      73       7  NaN NaN 0.45  2.5  4.0 2021 11 17  8 55 10.80
56.221 27.516  12.4 3.2     NaN      63       5  NaN NaN 0.57  3.3  4.6 2021 11 17 12  1 17.38
56.121 27.591  19.1 3.6     NaN      42       6  NaN NaN 0.44  6.2 14.1 2021 11 17 13 42 22.81
56.215 27.565  15.8 3.5     NaN     158      22  NaN NaN 0.41  1.9  2.9 2021 11 17 18 37 18.58
56.151 27.526  15.3 3.7     NaN     200      18  NaN NaN 0.41  2.3  3.7 2021 11 17 19 29 37.48
56.189 27.566  11.7 3.2     NaN      83       9  NaN NaN 0.37  2.5  3.7 2021 11 17 21  8 35.34
56.158 27.586  15.9 3.3     NaN      95       7  NaN NaN 0.46  2.7  5.4 2021 11 17 21 31 58.44
56.225 27.567  13.5 3.0     NaN     232      22  NaN NaN 0.44  2.0  3.0 2021 11 17 23 20 25.84
56.185 27.580  12.5 3.3     NaN     181       0  NaN NaN 0.40  2.1  3.5 2021 11 17 23 53 46.52
56.270 27.509  16.0 3.4     NaN      76       8  NaN NaN 0.45  2.5  3.1 2021 11 18  2 18 15.10
56.153 27.534  13.1 3.4     NaN      73       7  NaN NaN 0.44  2.2  4.2 2021 11 18 12  2 51.56
56.100 27.534  14.6 4.3     NaN     145      19  NaN NaN 0.47  2.4  4.0 2021 11 18 16 10 42.36
56.226 27.636  11.8 3.5     NaN      75      12  NaN NaN 0.52  4.7  6.7 2021 11 18 20 50 50.68
56.151 27.536  15.5 3.3     NaN      72       8  NaN NaN 0.66  3.9  4.6 2021 11 18 21 20  6.72
56.207 27.557  17.1 3.5     NaN     306      42  NaN NaN 0.42  1.9  3.3 2021 11 18 23  5 21.14
56.269 27.539  12.9 2.7     NaN      56       8  NaN NaN 0.55  3.1  4.8 2021 11 19  1 59 44.61
56.162 27.613  13.2 3.6     NaN     135       7  NaN NaN 0.48  2.4  3.9 2021 11 19 10 34 23.81
56.233 27.583  14.9 4.0     NaN     127      16  NaN NaN 0.57  3.1  4.5 2021 11 19 18 52  8.90
56.149 27.531  12.1 3.3     NaN      78      15  NaN NaN 0.37  2.0  4.5 2021 11 20  4 55 55.10
56.179 27.617  21.9 3.8     NaN      93      11  NaN NaN 0.43  1.9  4.3 2021 11 20 18 44 27.62
56.215 27.542  12.5 3.4     NaN     190      15  NaN NaN 0.47  2.2  3.3 2021 11 20 19 17 57.56
56.172 27.530  13.7 3.5     NaN      74       7  NaN NaN 0.45  2.4  3.9 2021 11 21  5 55 39.02
56.168 27.656   9.0 2.6     NaN      21       3  NaN NaN 0.57  5.3  8.6 2021 11 21 15 48 12.65
56.171 27.520  13.4 2.9     NaN      77      11  NaN NaN 0.32  2.2  3.9 2021 11 21 19 55 27.76
56.001 27.518  14.3 3.4     NaN      55       2  NaN NaN 0.47  4.9  9.3 2021 11 21 22 51  5.92
56.192 27.582   7.6 2.6     NaN      35       5  NaN NaN 0.62  2.6  4.7 2021 11 22  1 41 30.71
56.187 27.550  13.0 2.9     NaN      77      11  NaN NaN 0.52  2.1  4.2 2021 11 22  2 18  6.99
56.149 27.587  15.8 3.7     NaN     174      18  NaN NaN 0.43  2.1  3.6 2021 11 22  3 29 36.16
56.197 27.636   1.6 3.2     NaN       8       0  NaN NaN 0.37  6.0  8.9 2021 11 23  2 29  7.77
56.262 27.512  14.8 3.4     NaN      97       9  NaN NaN 0.54  2.5  4.1 2021 11 23  8 15 24.77
56.225 27.529  17.1 2.8     NaN      26       6  NaN NaN 0.54  3.4  5.5 2021 11 23 16 49 17.02
56.104 27.538  12.7 3.4     NaN     131      20  NaN NaN 0.41  2.4  3.8 2021 11 24  2 34 26.11
56.178 27.568  28.6 2.7     NaN       8       0  NaN NaN 0.25  3.3  4.5 2021 11 24 16 25 54.52
56.248 27.557  16.2 3.8     NaN     183      14  NaN NaN 0.43  2.5  3.0 2021 11 25 11  2 56.81
56.208 27.608  15.3 3.8     NaN     114       9  NaN NaN 0.39  2.6  4.2 2021 11 26  5 57 39.43
56.193 27.545  13.4 3.4     NaN     114      17  NaN NaN 0.42  2.1  3.9 2021 11 26 21 29 40.16
56.136 27.560  14.3 3.1     NaN      72       0  NaN NaN 0.35  3.0  3.9 2021 11 26 23  1  3.24
56.213 27.535   7.9 3.4     NaN      32       3  NaN NaN 0.61  5.9 12.2 2021 11 27 23 42 17.60
56.154 27.596  16.9 4.0     NaN     129       6  NaN NaN 0.34  2.3  4.2 2021 11 28 17 14 43.66
56.240 27.532  16.7 3.4     NaN     151      23  NaN NaN 0.40  2.0  3.4 2021 11 29 21  2 42.20
56.282 27.541  17.8 3.8     NaN     136       9  NaN NaN 0.43  2.2  3.4 2021 11 30  3 47 46.29
56.155 27.552  12.9 2.9     NaN      65       7  NaN NaN 0.37  1.9  3.9 2021 11 30  5  4 56.58
56.062 27.501  20.3 2.9     NaN      37       4  NaN NaN 0.57  4.6  6.9 2021 11 30 14 56 20.14
56.201 27.548  12.1 3.2     NaN     130      17  NaN NaN 0.44  2.2  4.3 2021 11 30 22 44 37.46
56.093 27.573  16.0 2.7     NaN      56       0  NaN NaN 0.31  4.1  7.2 2021 11 30 23 54 27.92
56.138 27.554  18.1 3.4     NaN      96       5  NaN NaN 0.51  2.8  4.0 2021 12  1  1 42 32.91
56.179 27.565  13.0 3.2     NaN     186      15  NaN NaN 0.57  2.3  3.7 2021 12  1  4 53 16.79
56.178 27.577   9.4 2.7     NaN      87      11  NaN NaN 0.30  2.1  4.0 2021 12  1  6 31 43.53
56.266 27.660   0.2 3.2     NaN      19       0  NaN NaN 0.73 10.7 16.7 2021 12  3  6 20 15.21
56.233 27.585  17.1 3.4     NaN     132      11  NaN NaN 0.29  2.4  2.8 2021 12  3 20  6 13.58
56.225 27.579  17.2 2.7     NaN      93      12  NaN NaN 0.30  2.1  3.3 2021 12  5 19 52 57.64
56.169 27.555  11.9 3.1     NaN     113      10  NaN NaN 0.41  1.9  4.0 2021 12  5 20 27 23.22
56.209 27.609  16.6 3.6     NaN     112       0  NaN NaN 0.52  2.8  4.4 2021 12  6  8  4 20.63
56.229 27.577  17.1 2.9     NaN      63       9  NaN NaN 0.34  2.9  4.3 2021 12  6 17 10  5.12
56.108 27.583  15.7 3.3     NaN     122       0  NaN NaN 0.49  2.5  4.3 2021 12  7 19 40 14.88
56.178 27.601  22.5 3.6     NaN      78       6  NaN NaN 0.65  2.2  4.2 2021 12  7 23  7 20.32
56.094 27.545  13.6 3.6     NaN      81       0  NaN NaN 0.63  2.6  3.5 2021 12 10 11 59 49.56
56.213 27.523  17.5 4.3     NaN     107       7  NaN NaN 0.45  2.4  4.1 2021 12 10 17 33 31.60
56.163 27.549  13.3 3.4     NaN     100       8  NaN NaN 0.60  2.1  3.8 2021 12 13  5 12 42.68
56.179 27.530  19.1 3.6     NaN      73       0  NaN NaN 0.71  5.7  9.8 2021 12 13  6 15 28.38
56.223 27.603  15.6 3.4     NaN     120       0  NaN NaN 0.62  3.5  5.8 2021 12 13 16 35 53.48
56.127 27.598  15.6 4.0     NaN      81       0  NaN NaN 0.55  2.7  4.6 2021 12 14 15 34 53.89
56.205 27.597  13.3 2.9     NaN     104      13  NaN NaN 0.46  2.9  4.1 2021 12 14 20 38 38.24
56.225 27.594  10.9 3.6     NaN     166      23  NaN NaN 0.41  2.6  3.6 2021 12 15  0 55 12.73
56.213 27.593  10.5 2.8     NaN      67       8  NaN NaN 0.59  4.9  7.8 2021 12 16 21 24 41.54
56.277 27.532  22.6 3.4     NaN      45       4  NaN NaN 0.57  4.3  8.4 2021 12 19 14 32  2.31
56.237 27.581  18.3 4.6     NaN     115      17  NaN NaN 0.53  2.6  4.1 2021 12 21 16 36 12.24
56.241 27.577  16.6 3.2     NaN     142      21  NaN NaN 0.39  2.6  2.6 2021 12 21 18 55  8.72
56.223 27.585  10.0 2.9     NaN      39       4  NaN NaN 0.56  2.7  4.6 2021 12 23 15 47 23.30
56.184 27.596   6.6 2.7     NaN      32       0  NaN NaN 0.36  4.5  8.5 2021 12 27  5 39 34.17
56.241 27.639  12.6 3.2     NaN     106      12  NaN NaN 0.55  4.5  5.8 2021 12 27  7  3 40.10
56.255 27.594  17.2 5.0     NaN     147      10  NaN NaN 0.41  2.3  2.7 2021 12 27  7 31 56.16
56.161 27.613  12.8 3.3     NaN     146      13  NaN NaN 0.41  2.4  4.0 2021 12 28  4 39  8.46
56.199 27.459  11.2 2.9     NaN      35       0  NaN NaN 0.65  5.1  6.4 2022  1  8  1 14  1.44
56.266 27.504  23.4 3.3     NaN      28       0  NaN NaN 0.64  6.1 11.4 2022  1  8  4 45 38.93
56.228 27.633   6.8 3.2     NaN      78       6  NaN NaN 0.64  6.6  9.6 2022  1  8 16 23 43.01
56.229 27.653   8.4 3.1     NaN      66       5  NaN NaN 0.76  8.6 11.2 2022  1 17 21 50  7.84
56.140 27.572   6.7 2.6     NaN      40       0  NaN NaN 0.31  5.3  9.3 2022  1 25 19 11  9.48
56.092 27.542   9.8 2.9     NaN      40       0  NaN NaN 0.38  6.5 11.0 2022  1 25 19 13 44.72
56.219 27.636  15.4 3.4     NaN      90       8  NaN NaN 0.52  4.6  6.5 2022  2  2  9 33 31.02
56.215 27.498  17.6 3.5     NaN      24       0  NaN NaN 0.55  6.9 10.7 2022  2  3  5 24  0.82
56.238 27.657  12.3 3.5     NaN      67       9  NaN NaN 0.64  5.1  6.2 2022  2  7 11  6 26.75
56.224 27.497  17.5 3.7     NaN      86       7  NaN NaN 0.56  5.0  6.9 2022  2  7 23 55 59.00
56.162 27.515  12.3 3.4     NaN      57       0  NaN NaN 0.59  5.1  8.1 2022  2  9 23  7 27.90
56.139 27.571  10.6 3.4     NaN      72       6  NaN NaN 0.46  2.2  4.4 2022  2 10 14 43 16.69
56.224 27.462  16.3 4.0     NaN      70       7  NaN NaN 0.47  3.2  4.7 2022  2 16  2  9  3.35
56.279 27.443  22.6 4.4     NaN       8       0  NaN NaN 0.33  8.2 15.6 2022  2 22 19 55 42.56
56.172 27.549  13.5 3.4     NaN      98       4  NaN NaN 0.40  2.7  4.2 2022  2 24  1 48 34.83
56.189 27.559  14.0 4.1     NaN      93       0  NaN NaN 0.64  3.4  5.2 2022  2 24  3 30 17.92
56.150 27.533  23.1 3.4     NaN      28       0  NaN NaN 0.47  7.8 17.5 2022  2 28  3 41 30.92
56.213 27.488  17.4 4.3     NaN      74       5  NaN NaN 0.43  3.4  5.2 2022  3  8 23 21 39.04
56.163 27.528  14.8 2.9     NaN      81       8  NaN NaN 0.32  2.1  3.6 2022  3 22  0 55 54.48
56.143 27.605   8.1 2.9     NaN      16       0  NaN NaN 0.22 17.2 10.0 2022  3 22 10  3  5.12
56.177 27.528  13.7 3.7     NaN     180      12  NaN NaN 0.44  2.2  3.7 2022  4  7 14 16 39.41
56.048 27.561  22.8 4.1     NaN      43       3  NaN NaN 0.47  3.6  5.2 2022  4 14  7 41  8.73
56.005 27.513  12.2 3.6     NaN       8       1  NaN NaN 0.32  5.8  9.6 2022  4 23 21 30 36.00
56.290 27.591  13.6 3.2     NaN      94       0  NaN NaN 0.43  2.5  4.8 2022  5 16 23 11 33.84
56.207 27.488  13.5 3.2     NaN      73       1  NaN NaN 0.48  3.6  4.8 2022  5 16 23 45 18.64
56.217 27.489  13.6 3.3     NaN       9       1  NaN NaN 0.91  4.6  5.7 2022  5 25  5 41 17.17
56.155 27.586  14.9 2.9     NaN       8       0  NaN NaN 0.25  3.8  5.2 2022  5 27 22 30  1.16
