   LON    LAT DEPTH MAG NSTUSED NPHASEP NPHASES MIND GAP  RMS  SEH  SEZ YYYY MM DD HH MN   SEC
56.261 27.480  13.2 2.8     NaN      28       2  NaN NaN 0.47  5.8  7.7 2021 10 14 14 17 47.37
56.085 27.570  17.1 6.2     NaN     104       9  NaN NaN 0.57  2.3  4.7 2021 11 14 12  7  4.23
56.135 27.589  18.0 4.6     NaN     109       9  NaN NaN 0.58  3.1  5.3 2021 11 14 14  2 56.30
56.144 27.491  16.9 3.6     NaN      59       0  NaN NaN 0.59  3.6  5.1 2021 11 14 14 13 57.10
56.226 27.588  15.5 4.3     NaN      16       2  NaN NaN 0.43  2.8  5.7 2021 11 14 15 12  7.86
56.118 27.528  15.2 4.3     NaN     126       8  NaN NaN 0.62  3.2  5.0 2021 11 14 15 22 18.85
56.111 27.521  14.7 4.0     NaN      28       1  NaN NaN 0.76  4.2  8.1 2021 11 14 15 59 11.50
56.168 27.520  17.9 4.4     NaN     109       0  NaN NaN 0.58  3.8  4.9 2021 11 14 16 19 57.18
56.102 27.540  17.1 3.5     NaN     134      14  NaN NaN 0.46  2.4  4.7 2021 11 14 20  9 49.22
56.130 27.540  23.3 3.7     NaN      25       2  NaN NaN 0.72  4.7  7.1 2021 11 15  2 53 43.74
56.197 27.573  16.1 3.3     NaN      65       0  NaN NaN 0.38  2.9  5.2 2021 11 15  6 43 48.34
56.249 27.543  14.3 3.7     NaN     129       8  NaN NaN 0.68  2.9  5.4 2021 11 15  7 44 54.66
56.235 27.564  18.7 3.2     NaN      75       6  NaN NaN 0.54  2.6  4.9 2021 11 15  9 45 23.75
56.132 27.520   9.4 3.5     NaN      70       8  NaN NaN 0.61  5.0  5.8 2021 11 15 11 24 15.11
56.158 27.567  19.6 5.0     NaN     250      29  NaN NaN 0.52  2.5  5.0 2021 11 15 13 36 11.57
56.171 27.545  15.5 3.8     NaN     117      10  NaN NaN 0.65  5.9  8.2 2021 11 15 16 42 43.13
56.206 27.551  11.7 2.9     NaN       9       1  NaN NaN 0.37  2.9  5.8 2021 11 15 17 22 19.62
56.234 27.549  18.3 4.3     NaN     251      30  NaN NaN 0.42  2.2  4.8 2021 11 15 18  5 38.16
55.993 27.518  14.7 3.5     NaN      21       0  NaN NaN 0.64  3.2  6.1 2021 11 15 18 18 16.32
56.179 27.553  12.9 3.7     NaN      45       5  NaN NaN 0.46  2.8  5.0 2021 11 15 19 12 14.26
56.168 27.620  21.1 3.3     NaN      87       8  NaN NaN 0.43  2.6  5.5 2021 11 15 20  6 29.08
56.162 27.587  14.5 3.3     NaN     138      13  NaN NaN 0.45  2.7  5.2 2021 11 15 21 24 17.64
55.966 27.501  15.8 3.1     NaN       9       1  NaN NaN 0.17  3.9  6.6 2021 11 15 22 31 50.12
56.119 27.606   6.1 3.1     NaN      19       2  NaN NaN 0.79  5.2  7.6 2021 11 15 22 51 21.68
56.132 27.565  19.2 4.1     NaN     141      10  NaN NaN 0.36  2.5  4.6 2021 11 16  5 12 14.14
56.167 27.615  12.3 3.7     NaN     138       9  NaN NaN 0.48  2.4  5.7 2021 11 16 10 37 29.47
56.253 27.485  17.4 3.5     NaN      79       8  NaN NaN 0.47  2.7  5.3 2021 11 16 15 35 47.28
56.151 27.520  15.2 3.9     NaN     209      20  NaN NaN 0.52  2.5  4.9 2021 11 16 19 27 41.88
56.054 27.498  13.2 3.1     NaN      27       2  NaN NaN 0.68  3.2  5.1 2021 11 16 19 33 46.80
56.196 27.567  17.7 3.7     NaN     181      13  NaN NaN 0.56  2.5  5.4 2021 11 17  1 59 40.38
56.122 27.544  17.8 3.1     NaN      64      13  NaN NaN 0.45  2.4  4.8 2021 11 17  2 51 34.52
56.174 27.608  13.0 3.4     NaN      16       2  NaN NaN 0.35  4.4  8.1 2021 11 17  8 55 10.88
56.217 27.567  15.4 3.5     NaN     168      22  NaN NaN 0.48  2.3  5.0 2021 11 17 18 37 18.62
56.147 27.524  15.6 3.7     NaN      98       9  NaN NaN 0.41  3.6  5.2 2021 11 17 19 29 37.52
56.198 27.566  11.1 3.2     NaN      86       9  NaN NaN 0.57  4.3  6.4 2021 11 17 21  8 35.38
56.164 27.567  18.3 3.3     NaN      94       7  NaN NaN 0.64  3.5  6.4 2021 11 17 21 31 58.56
56.229 27.570  12.8 3.0     NaN     144      12  NaN NaN 0.50  2.1  4.9 2021 11 17 23 20 25.92
56.183 27.579  12.6 3.3     NaN     206       0  NaN NaN 0.39  2.6  5.2 2021 11 17 23 53 46.56
56.271 27.505  16.1 3.4     NaN      72       6  NaN NaN 0.47  2.9  5.4 2021 11 18  2 18 15.15
56.164 27.552  11.2 3.4     NaN      24       3  NaN NaN 0.34  4.0  8.3 2021 11 18 12  2 51.70
56.099 27.536  14.3 4.3     NaN     132      18  NaN NaN 0.52  2.3  5.1 2021 11 18 16 10 42.38
56.243 27.638  10.3 3.5     NaN      16       2  NaN NaN 0.54  6.5  8.7 2021 11 18 20 50 50.80
56.142 27.551  14.0 3.3     NaN      32       4  NaN NaN 0.60  3.5  5.5 2021 11 18 21 20  6.76
56.208 27.556  16.9 3.5     NaN     261      31  NaN NaN 0.42  2.1  4.8 2021 11 18 23  5 21.20
56.165 27.613  13.3 3.6     NaN     124       8  NaN NaN 0.34  2.2  5.4 2021 11 19 10 34 23.88
56.241 27.589  14.0 4.0     NaN     109      15  NaN NaN 0.56  2.6  5.3 2021 11 19 18 52  8.92
56.155 27.523  13.4 3.3     NaN      33       8  NaN NaN 0.69  2.7  5.1 2021 11 20  4 55 55.24
56.181 27.614  22.0 3.8     NaN      94      13  NaN NaN 0.43  2.5  6.0 2021 11 20 18 44 27.68
56.214 27.534  13.1 3.4     NaN      93       9  NaN NaN 0.45  2.3  4.8 2021 11 20 19 17 57.60
56.182 27.526  13.5 3.5     NaN      92       9  NaN NaN 0.78  6.2  6.3 2021 11 21  5 55 39.17
55.996 27.514  15.4 3.4     NaN      20       1  NaN NaN 0.30  3.5  6.3 2021 11 21 22 51  6.00
56.148 27.586  16.0 3.7     NaN     211      27  NaN NaN 0.46  2.7  5.2 2021 11 22  3 29 36.20
56.259 27.510  15.0 3.4     NaN     107      10  NaN NaN 0.56  2.3  5.0 2021 11 23  8 15 24.81
56.104 27.545  12.1 3.4     NaN      42       8  NaN NaN 0.54  2.7  5.8 2021 11 24  2 34 26.14
56.250 27.557  16.1 3.8     NaN     233      19  NaN NaN 0.49  2.0  4.8 2021 11 25 11  2 56.88
56.205 27.618  14.0 3.8     NaN     104       8  NaN NaN 0.43  3.1  6.2 2021 11 26  5 57 39.41
56.193 27.540  13.9 3.4     NaN      92      16  NaN NaN 0.50  2.3  5.2 2021 11 26 21 29 40.24
56.157 27.597  16.8 4.0     NaN     114      11  NaN NaN 0.61  2.6  5.5 2021 11 28 17 14 43.72
56.239 27.528  17.0 3.4     NaN     145      21  NaN NaN 0.52  2.1  4.9 2021 11 29 21  2 42.24
56.283 27.542  17.7 3.8     NaN     172      12  NaN NaN 0.50  2.3  4.8 2021 11 30  3 47 46.34
56.205 27.557  10.9 3.2     NaN      68      13  NaN NaN 0.39  3.9  8.1 2021 11 30 22 44 37.48
56.137 27.541  18.5 3.4     NaN       9       1  NaN NaN 0.66  7.3 11.8 2021 12  1  1 42 33.05
56.178 27.565  13.3 3.2     NaN     141      21  NaN NaN 0.69  3.2  5.8 2021 12  1  4 53 16.83
56.238 27.651   1.7 3.2     NaN      10       0  NaN NaN 0.52 12.4 12.9 2021 12  3  6 20 15.39
56.236 27.582  17.4 3.4     NaN      92       8  NaN NaN 0.40  2.8  6.0 2021 12  3 20  6 13.66
56.159 27.553  12.6 3.1     NaN      27       3  NaN NaN 0.69  4.3  7.0 2021 12  5 20 27 23.18
56.203 27.613  16.1 3.6     NaN      92       0  NaN NaN 0.58  2.9  6.2 2021 12  6  8  4 20.61
56.098 27.570  16.0 3.3     NaN      40       0  NaN NaN 0.71  3.7  4.4 2021 12  7 19 40 15.04
56.182 27.601  22.4 3.6     NaN      75       7  NaN NaN 0.71  2.8  5.6 2021 12  7 23  7 20.38
56.095 27.545  13.2 3.6     NaN      40       0  NaN NaN 0.48  3.0  4.7 2021 12 10 11 59 49.61
56.205 27.513  19.2 4.3     NaN      78       6  NaN NaN 0.50  3.0  5.7 2021 12 10 17 33 31.72
56.176 27.543  13.2 3.4     NaN      55       5  NaN NaN 0.89  3.5  6.4 2021 12 13  5 12 42.83
56.222 27.602  15.9 3.4     NaN      60       0  NaN NaN 0.68  3.2  7.0 2021 12 13 16 35 53.61
56.236 27.599   9.9 3.6     NaN     140      17  NaN NaN 0.51  4.4  9.6 2021 12 15  0 55 12.76
56.223 27.583  11.9 2.8     NaN      18       2  NaN NaN 0.64  4.0  6.3 2021 12 16 21 24 41.66
56.278 27.534  22.5 3.4     NaN      78       8  NaN NaN 0.64  3.4  6.5 2021 12 19 14 32  2.34
56.243 27.582  17.9 4.6     NaN      99      16  NaN NaN 0.51  2.6  5.0 2021 12 21 16 36 12.32
56.247 27.578  16.2 3.2     NaN     171      28  NaN NaN 0.46  2.4  4.9 2021 12 21 18 55  8.78
56.214 27.569  13.0 2.9     NaN       9       1  NaN NaN 0.33  3.3  5.7 2021 12 23 15 47 23.49
56.222 27.645  10.6 3.2     NaN      55       7  NaN NaN 0.65  4.8 10.3 2021 12 27  7  3 39.81
56.256 27.597  17.2 5.0     NaN     147       8  NaN NaN 0.50  2.5  5.1 2021 12 27  7 31 56.20
56.166 27.610  13.7 3.3     NaN     111      11  NaN NaN 0.50  2.5  5.7 2021 12 28  4 39  8.51
56.269 27.503  23.3 3.3     NaN      20       0  NaN NaN 0.73  3.2  5.5 2022  1  8  4 45 38.97
56.207 27.638   4.5 3.2     NaN       9       1  NaN NaN 0.74  6.3 15.4 2022  1  8 16 23 42.70
56.226 27.624  12.2 3.1     NaN      18       2  NaN NaN 0.79  5.6 13.0 2022  1 17 21 50  8.06
56.231 27.652  14.5 3.4     NaN      18       2  NaN NaN 0.38  4.7  7.4 2022  2  2  9 33 30.98
56.214 27.501  16.6 3.7     NaN      67       4  NaN NaN 0.80  3.9  6.5 2022  2  7 23 55 59.30
56.144 27.589   9.8 3.4     NaN      18       2  NaN NaN 0.54  3.8  7.0 2022  2 10 14 43 16.59
56.224 27.459  16.8 4.0     NaN      17       3  NaN NaN 0.57  3.3  5.8 2022  2 16  2  9  3.35
56.172 27.550  13.3 3.4     NaN      96       8  NaN NaN 0.48  4.1  6.0 2022  2 24  1 48 34.92
56.191 27.559  13.8 4.1     NaN      20       0  NaN NaN 0.59  5.5  7.6 2022  2 24  3 30 17.93
56.201 27.489  18.5 4.3     NaN      86       4  NaN NaN 0.47  3.3  6.0 2022  3  8 23 21 39.08
56.142 27.490  16.6 2.9     NaN       9       1  NaN NaN 0.74  6.6 11.0 2022  3 22  0 55 54.74
56.182 27.527  13.7 3.7     NaN     145      12  NaN NaN 0.60  4.5  5.6 2022  4  7 14 16 39.52
56.050 27.560  22.2 4.1     NaN      20       2  NaN NaN 0.32  4.5  6.2 2022  4 14  7 41  8.66
56.274 27.592  15.0 3.2     NaN      10       0  NaN NaN 0.45  3.3  5.3 2022  5 16 23 11 33.92
56.173 27.486  15.7 3.2     NaN       9       1  NaN NaN 0.74  3.2  3.7 2022  5 16 23 45 18.98
56.248 27.458  14.9 3.3     NaN       9       1  NaN NaN 0.74  3.3  3.7 2022  5 25  5 41 17.22
