Vp      Z VpVs Interface
4.20  0.0 1.75 nul
5.40  2.0 1.75 nul
5.70  4.0 1.75 nul
5.90 10.0 1.75 nul
6.10 14.0 1.75 nul
6.50 19.0 1.75 B
8.20 46.0 1.75 N
