# 2021 01 01 07 30 01.800000 34.764 53.010   8.0  2.8 0.0 0.0 0.0         1
LAS  13.100 1.00 Pg
SFB  15.200 1.00 Pg
FIR  17.700 1.00 Pg
ANJ  19.100 1.00 Pg
SHM  20.400 1.00 Pg
KRSH 20.700 1.00 Pg
VRN  21.200 1.00 Pg
DMV  22.200 1.00 Pg
HSB  29.400 1.00 Pg
QOM  30.000 1.00 Pg
PRN  30.500 1.00 Pg
ANAR 31.100 1.00 Pn
QAMS 31.500 1.00 Pn
KLH  34.600 1.00 Pn
GLO  34.600 1.00 Pn
ZEF  35.600 1.00 Pn
MZPU 36.900 1.00 Pn
# 2021 01 04 16 56 49.400000 35.203 53.648  10.0  2.6 0.0 0.0 0.0         2
ANJ   6.800 1.00 Pg
LAS  12.500 1.00 Pg
SHM  13.100 1.00 Pg
FIR  16.800 1.00 Pg
GLO  25.200 1.00 Pg
DMV  26.100 1.00 Pg
SFB  26.900 1.00 Pg
VRN  28.500 1.00 Pn
PRN  28.800 1.00 Pg
KRSH 31.900 1.00 Pn
QAMS 41.400 1.00 Pn
KLH  43.900 1.00 Pn
ZEF  44.300 1.00 Pn
# 2021 01 05 08 56 59.800000 36.265 53.595   7.5  2.5 0.0 0.0 0.0         3
GLO   6.500 1.00 Pg
SHM  10.500 1.00 Pg
ANJ  16.400 1.00 Pg
FIR  18.000 1.00 Pg
SHM  18.900 1.00 Sg
PRN  20.200 1.00 Pg
DMV  27.100 1.00 Pg
VRN  36.100 1.00 Pn
# 2021 01 10 22 38 53.800000 36.630 49.245   8.0  2.9 0.0 0.0 0.0         4
ZNJK  9.500 1.00 Pg
GIDE 12.100 1.00 Pg
GZV  16.000 1.00 Pg
LHJ2 16.400 1.00 Pg
HGHA 22.800 1.00 Pg
HSH  31.500 1.00 Pn
MZPU 34.900 1.00 Pn
SNJK 38.700 1.00 Pn
SNQR 39.100 1.00 Pn
QOM  40.500 1.00 Pn
SAQZ 43.400 1.00 Pn
DMV  43.500 0.00 Pn
PRN  43.900 1.00 Pn
SFB  54.900 1.00 Pn
QAMS 55.400 1.00 Pn
GLO  61.200 0.00 Pn
# 2021 01 14 11 20 39.500000 36.522 53.041  19.6  3.9 0.0 0.0 0.0         5
PRN  12.600 1.00 Pg
GLO  12.800 1.00 Pg
SHM  14.600 1.00 Pg
FIR  17.500 1.00 Pg
LAS  21.700 1.00 Pg
MZPU 22.300 1.00 Pg
PRN  22.900 1.00 Sg
DMV  23.600 1.00 Pg
ANJ  23.700 1.00 Pg
TEH  28.700 1.00 Pg
TEHA 28.800 0.00 Pg
VRN  32.900 1.00 Pn
HSB  33.800 1.00 Pg
LAS  37.600 1.00 Sg
SFB  38.200 0.00 Pn
GZV  38.300 1.00 Pn
QOM  39.100 0.00 Pn
SHRO 41.400 1.00 Pn
KRSH 43.500 0.00 Pn
QABG 48.000 1.00 Pn
QAMS 49.400 0.00 Pn
ANAR 53.300 0.00 Pn
KLH  54.100 0.00 Pn
ZNJK 55.600 1.00 Pn
TAPT 58.000 1.00 Pn
SBZV 58.100 1.00 Pn
TNSJ 60.300 1.00 Pn
TSHB 61.800 1.00 Pn
SFR  63.200 1.00 Pn
CHK  67.900 0.00 Pn
TKDS 68.200 0.00 Pn
SRB  68.500 1.00 Pn
TPRV 70.400 0.00 Pn
DOBD 71.900 1.00 Pn
RAM  73.000 0.00 Pn
HRS  76.700 1.00 Pn
BAF  81.000 0.00 Pn
PQL  82.700 1.00 Pn
MYA  85.700 1.00 Pn
AFRZ 87.100 0.00 Pn
XNQ  89.200 0.00 Pn
QSAR 91.900 0.00 Pn
KOO  95.500 0.00 Pn
MON  95.600 0.00 Pn
BSRN 100.500 0.00 Pn
DAH  100.900 0.00 Pn
# 2021 01 14 18 10 58.500000 35.966 53.269   8.0  2.6 0.0 0.0 0.0         6
SHM   3.600 1.00 Pg
FIR  10.600 1.00 Pg
GLO  13.800 1.00 Pg
PRN  15.700 1.00 Pg
DMV  21.100 1.00 Pg
MZPU 28.200 1.00 Pg
VRN  30.200 1.00 Pg
SFB  33.700 1.00 Pn
KRSH 39.800 1.00 Pn
# 2021 01 17 02 39 04.900000 36.037 52.696   6.0  2.9 0.0 0.0 0.0         7
