BNB 27.449 56.54 62
BNDS 27.399 56.171 1500
CHMN 29.861 57.54 2923
GENO 27.4 56.172 1616
GHIR 28.286 52.987 1200
JASK 25.867 57.866 234
JHRM 28.505 53.577 998
JSSH 25.909 57.387 31
KBAM 29.136 58.452 971
KHGB 30.375 56.477 2057
KHJ1 28.349 58.165 889
KHL1 27.64 53.301 468
KHNJ 27.948 57.706 492
KRBR 29.983 56.76 2576
KSHB 30.241 55.117 2114
KSHD 30.345 57.512 1150
LMD1 27.34 53.165 425
MZJN 28.06 54.652 797
MZN1 28.059 54.652 780
NGRK 29.644 56.73 3123
QIR1 28.476 53.044 740
TVBK 29.986 56.761 2886
UOSS 24.945 56.204 283
